,seller_city,seller_lat,seller_long
493,bom jardim,-7.80135,-35.59766
494,manaus,-3.05968,-59.98772
495,portoferreira,-21.8421,-47.4711
496,lages - sc,-27.81791,-50.3239
497,cacador,-26.78043,-51.00715
498,igrejinha,-29.56818,-50.79902
499,olimpia,-20.73462,-48.91061
500,marialva,-23.49115,-51.80832
501,sao sebastiao da grama/sp,-21.71193,-46.824
502,angra dos reis,-22.99326,-44.321
503,itaporanga,-7.30576,-38.15757
504,prados,-21.06552,-44.08306
505,ferraz de  vasconcelos,-23.47789,-46.40966
506,imbituva,-25.23317,-50.60538
507,santa terezinha de goias,-14.43311,-49.70072
508,rio negrinho,-26.26105,-49.52369
509,cordilheira alta,-26.984,-52.62236
510,sapiranga,-29.63727,-50.99862
511,juzeiro do norte,-19.83004,-43.93017
512,sao vicente,-23.96321,-46.4135
513,itapetininga,-23.59267,-48.05473
514,irati,-25.47893,-50.65764
515,castro pires,-24.78869,-49.9955
516,viana,-20.36856,-40.45
517,xaxim,-26.96409,-52.5341
518,santa cecilia,-26.96845,-50.42996
519,itabira,-19.63583,-43.23135
520,camboriu,-27.03229,-48.66437
521,pouso alegre,-22.24089,-45.92932
522,horizontina,-27.6224,-54.30679
523,sao francisco do sul,-26.24575,-48.57814
524,resende,-22.47245,-44.47342
525,cravinhos,-21.33896,-47.73894
526,sao miguel do oeste,-26.73312,-53.5187
527,serra redonda,-7.17698,-35.67202
528,centro,-22.73518,-43.48981
529,dores de campos,-21.10938,-44.02338
530,bage,-31.3268,-54.103
531,itapema,-27.11102,-48.61281
532,nova trento,-27.2755,-48.93824
533,mandaguari,-23.50983,-51.6883
534,são paulo,-10.5442,-37.54154
535,lambari,-21.97493,-45.34729
536,palotina,-24.28773,-53.8401
537,laguna,-28.46976,-48.79223
538,jambeiro,-23.27376,-45.715
539,itaborai,-22.74824,-42.86918
540,sao joao da boa vista,-21.96792,-46.79
541,cianorte,-23.66682,-52.61154
542,campos novos,-27.39779,-51.22082
543,irece,-11.30211,-41.85673
544,itapui,-22.23507,-48.72395
545,barrinha,-21.19131,-48.1565
546,ibirite,-20.01135,-44.06662
547,barbacena/ minas gerais,-21.21919,-43.76566
548,gaspar,-26.92749,-48.96223
549,barro alto,-11.81623,-41.83986
550,campanha,-21.82929,-45.40574
551,barbacena,-21.21919,-43.76566
552,goioere,-24.18479,-53.02907
553,avare,-23.10882,-48.92106
0,londrina,-23.31205,-51.15917
1,itaquaquecetuba,-23.4618,-46.3327
2,porto alegre,-30.06442,-51.17211
3,congonhal,-22.15377,-46.04133
4,nilopolis,-22.80987,-43.41686
5,nova odessa,-22.78873,-47.29572
6,sao bento do sul,-26.27811,-49.3868
7,embu guacu,-23.82675,-46.81392
8,nova petropolis,-29.37545,-51.1036
9,pompeia,-22.10132,-50.18177
10,presidente epitacio,-21.76914,-52.11118
11,balenario camboriu,-26.99775,-48.63044
12,bonfinopolis de minas,-16.54187,-46.0276
13,cataguases,-21.38766,-42.69103
14,alvorada,-30.0103,-51.06636
15,cosmopolis,-22.63948,-47.18774
16,ribeirao pretp,-8.51097,-35.37732
17,jaragua,-23.44211,-46.73352
18,tres coroas,-29.50379,-50.78355
19,bahia,-12.69466,-40.43806
20,presidente getulio,-27.05175,-49.63042
21,nhandeara,-20.69372,-50.0326
22,ronda alta,-27.77633,-52.80272
23,pinhais/pr,-25.42811,-49.1768
24,belford roxo,-22.77236,-43.38261
25,guaratingueta,-22.80255,-45.19333
26,janauba,-15.80837,-43.31938
